Comment,Designator,Footprint,LCSC,Quantity
100uF,"C52,C53",CP_Elec_6.3x7.7,C72478,2
10k,"R1,R11,R12,R13,R14,R15,R2,R3,R33,R37,R38,R44,R46,R48,R51,R54,R56,R60,R61,R63,R64,R78,R80,R81,R82,R85,R92,R95",R_0402_1005Metric,C25744,28
10n,"C18,C22,C23",C_0402_1005Metric,C5137480,3
10p,"C90,C91,C92,C93,C94,C95,C96,C97",C_0402_1005Metric,C106199,8
10p,"C77,C78",C_0402_1005Metric,C1574,2
10u,"C24,C33,C55,C60",C_0805_2012Metric,C6119889,4
10u/35V,"C28,C80",C_0805_2012Metric,C6119889,2
12k1,"R24,R65",R_0402_1005Metric,C25852,2
12uH,"L10,L3",L_Abracon_ASPI-0630LR,C177243,2
1k,"R10,R43,R45,R47,R49,R50,R52,R53,R55,R62,R90,R91,R93,R94",R_0402_1005Metric,C11702,14
1u,"C12,C15,C20,C69,C71,C82,C83",C_0402_1005Metric,C52923,7
220R@100M,L2,L_0603_1608Metric,C19330,1
220R@100M,"L1,L5,L6,L7,L8,L9",L_0603_1608Metric,C80165,6
22n/50V,"C45,C47,C58,C75",C_0402_1005Metric,C1532,4
22p,"C17,C19",C_0402_1005Metric,C1555,2
22u,"C31,C32,C34,C89,C98",C_0805_2012Metric,C45783,5
22u/35V,"C48,C49,C50,C51",C_0805_2012Metric,C6119901,4
25MHz,"Y1,Y2",Crystal_SMD_2016-4Pin_2.0x1.6mm,C19711739,2
2m,R34,R_1206_3216Metric,C844294,1
2u2,"C11,C13,C44,C46",C_0402_1005Metric,C12530,4
330,"R29,R30,R77,R79,R96",R_0402_1005Metric,C25104,5
33R,"R16,R17,R18,R76",R_0402_1005Metric,C25105,4
390m,"R39,R40,R41,R42",R_1206_3216Metric,C2907353,4
3k3,R31,R_0402_1005Metric,C140170,1
3k3,"R20,R83,R84",R_0402_1005Metric,C25879,3
3u3,L4,L_0805_2012Metric,C162585,1
49R9,"R25,R26,R27,R28,R68,R69,R70,R71,R72,R73,R74,R75",R_0402_1005Metric,C25120,12
4u7,C9,C_0402_1005Metric,C307423,1
56p,"C30,C88",C_0402_1005Metric,C107007,2
5k1,"R35,R36,R4,R5,R6,R67,R7,R8,R87,R9",R_0402_1005Metric,C25905,10
