Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,u1,C_0402_1005Metric,125.28,-92.2,0.0,top
C10,u1,C_0402_1005Metric,125.28,-84.04,0.0,top
C11,2u2,C_0402_1005Metric,121.2,-98.0,0.0,top
C12,1u,C_0402_1005Metric,125.28,-85.01,0.0,top
C13,2u2,C_0402_1005Metric,110.76,-79.12,90.0,top
C14,u1,C_0402_1005Metric,128.04,-84.83,180.0,top
C15,1u,C_0402_1005Metric,126.67,-83.83,-90.0,top
C16,u1,C_0402_1005Metric,123.35,-105.75,-90.0,top
C17,22p,C_0402_1005Metric,127.95,-69.7,45.0,top
C18,10n,C_0402_1005Metric,126.5,-76.175,180.0,top
C19,22p,C_0402_1005Metric,130.2,-69.6,135.0,top
C2,u1,C_0402_1005Metric,125.575,-89.3,0.0,top
C20,1u,C_0402_1005Metric,126.5,-73.37,90.0,top
C21,n47,C_0402_1005Metric,127.45,-73.37,90.0,top
C22,10n,C_0402_1005Metric,132.45,-79.475,-90.0,top
C23,10n,C_0402_1005Metric,132.85,-73.55,0.0,top
C24,10u,C_0805_2012Metric,136.35,-79.95,-90.0,top
C27,u1/35V,C_0805_2012Metric,75.25,-91.2,-90.0,top
C28,10u/35V,C_0805_2012Metric,73.25,-91.2,-90.0,top
C29,u1/16V,C_0402_1005Metric,70.1,-96.4,-90.0,top
C3,u1,C_0402_1005Metric,115.75,-110.8,90.0,top
C30,56p,C_0402_1005Metric,77.26,-89.425,0.0,top
C31,22u,C_0805_2012Metric,85.7,-91.9,0.0,top
C32,22u,C_0805_2012Metric,85.7,-89.9,0.0,top
C33,10u,C_0805_2012Metric,100.2,-83.3,0.0,top
C34,22u,C_0805_2012Metric,96.8,-68.9,90.0,top
C35,u1,C_0402_1005Metric,83.3,-104.85,-90.0,top
C36,u1/50V,C_0805_2012Metric,147.2875,-109.1375,180.0,top
C37,u1/50V,C_0805_2012Metric,160.15,-108.65,180.0,top
C38,u1,C_0402_1005Metric,140.1375,-107.5625,90.0,top
C39,u1,C_0402_1005Metric,151.9875,-108.3375,90.0,top
C4,u1,C_0402_1005Metric,122.45,-79.45,0.0,top
C40,u1/35V,C_0805_2012Metric,137.9875,-114.1375,180.0,top
C41,u1/35V,C_0805_2012Metric,150.7875,-114.1375,180.0,top
C42,u1/35V,C_0805_2012Metric,146.9875,-114.1375,0.0,top
C43,u1/35V,C_0805_2012Metric,159.7875,-114.1375,0.0,top
C44,2u2,C_0402_1005Metric,143.6875,-107.6375,180.0,top
C45,22n/50V,C_0402_1005Metric,146.0875,-111.0375,90.0,top
C46,2u2,C_0402_1005Metric,156.0875,-107.4375,180.0,top
C47,22n/50V,C_0402_1005Metric,158.8875,-110.9375,90.0,top
C48,22u/35V,C_0805_2012Metric,148.8875,-116.5375,180.0,top
C49,22u/35V,C_0805_2012Metric,148.9875,-111.7375,0.0,top
C5,u1,C_0402_1005Metric,109.46,-79.09,90.0,top
C50,22u/35V,C_0805_2012Metric,136.7875,-117.0375,90.0,top
C51,22u/35V,C_0805_2012Metric,160.85,-111.4,90.0,top
C52,100uF,CP_Elec_6.3x7.7,135.65,-107.05,270.0,top
C53,100uF,CP_Elec_6.3x7.7,163.3,-104.05,270.0,top
C54,u1,C_0402_1005Metric,161.775,-67.925,0.0,top
C55,10u,C_0805_2012Metric,163.15,-65.0,0.0,top
C56,u1,C_0402_1005Metric,148.86,-77.91,-90.0,top
C57,u1,C_0402_1005Metric,154.975,-68.975,0.0,top
C58,22n/50V,C_0402_1005Metric,200.3,-73.0,90.0,top
C59,u1,C_0402_1005Metric,158.47,-83.05,180.0,top
