Comment,Designator,Footprint,LCSC,Quantity
56p,C4,C_0402_1005Metric,C107007,1
1k,"R1,R19,R20,R22,R23,R25,R26",R_0402_1005Metric,C11702,7
Motor,"D1,D2,D3",LED_1206_3216Metric_ReverseMount,C125107,3
u1/35V,"C1,C3",C_0603_1608Metric,C14663,2
3u3,L2,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C162585,1
USB STM32,"J1,J22",USB_C_Receptacle_HRO_TYPE-C-31-M-12_smaller,C165948,2
2u2,"C33,C35,C8",C_0402_1005Metric,C170151,3
TPS54202DDC,U1,SOT-23-6_Handsoldering,C191884,1
600R,FB1,L_0603_1608Metric,C19330,1
TMC2209,"U5,U6",QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm_ThermalVias,C2150710,2
4u7,C14,C_0402_1005Metric,C23733,1
k1,"R5,R6",R_0402_1005Metric,C25076,2
r1,"R15,R16,R17,R18",R_1206_3216Metric,C25334,4
3k3,R4,R_0402_1005Metric,C25890,1
8k2,R7,R_0402_1005Metric,C25924,1
5k1,"R13,R28",R_0201_0603Metric,C270344,2
22n/50V,"C34,C36",C_0402_1005Metric,C337699,2
IRLML6344,"Q2,Q3,Q4",SOT-23,C347475,3
10uH,L1,L_Abracon_ASPI-0630LR,C408449,1
STM32G431RBTx,U2,LQFP-64_10x10mm_P0.5mm,C431633,1
10k,"R10,R11,R21,R24,R27,R3,R8,R9",R_0201_0603Metric,C473048,8
u1,"C25,C26,C29,C30,C42,C43",C_0805_2012Metric,C49678,6
BC807,Q1,SOT-23_smaller,C57316,1
M1,R2,R_0402_1005Metric,C60491,1
10u,"C10,C2,C22",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C6119888,3
22u/35V,"C37,C38,C39,C40,C5,C7",C_0805_2012Metric,C6119901,6
HX711,U3,SOIC-16_3.9x9.9mm_P1.27mm,C6705483,1
u1,"C11,C12,C13,C15,C16,C17,C18,C19,C20,C21,C27,C28,C6,C9",C_0201_0603Metric,C76934,14
