Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1m,CP_Radial_D8.0mm_P5.00mm,9.497349,16.0,0.0,top
C10,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.7,-2.2,0.0,bottom
C11,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1,-1.6,270.0,bottom
C12,1m,CP_Radial_D8.0mm_P5.00mm,1.0,16.0,0.0,top
C13,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,9.75,-3.925,270.0,bottom
C14,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,19.75,-3.925,270.0,bottom
C15,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,21.75,-3.925,270.0,bottom
C16,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,19.8,3.0,270.0,bottom
C17,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,21.8,3.0,270.0,bottom
C18,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,16.65,-3.025,0.0,bottom
C19,n47,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,12.85,-3.025,0.0,bottom
C2,1m,CP_Radial_D8.0mm_P5.00mm,1.0,24.55,0.0,top
C20,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.9,-7.9,180.0,bottom
C3,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-1.2,-5.7,0.0,bottom
C4,100uF,CP_Radial_D6.3mm_P2.50mm,-22.85,16.2,180.0,top
C5,100uF,CP_Radial_D6.3mm_P2.50mm,-23.76762,37.3,180.0,top
C6,1m,CP_Radial_D8.0mm_P5.00mm,9.497349,24.55,0.0,top
C7,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-8.8,-5.7,0.0,bottom
C8,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-8.8,-7.7,0.0,bottom
C9,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-1.2,-7.7,0.0,bottom
